,country,projects_count,fail%,success%,backers_count,usd_pledged,goal_usd,duration,lat,lon,countryname
0,AT,445,0.6,0.4,58059,7971858.46833989,19709687.55121575,15525.0,47.516231,14.550072,Austria
1,AU,4193,0.4836632482709277,0.5163367517290722,506204,36925842.72424317,254747882.32015347,137750.0,-25.274398,133.775136,Australia
2,BE,549,0.5628415300546448,0.4371584699453552,46016,5802486.834025272,26707895.65601329,19338.0,50.503.887,4.469.936,Belgium
3,CA,8334,0.43976481881449486,0.5602351811855052,1091523,76121180.33192958,276586424.86303246,276719.0,56.130.366,-106.346.771,Canada
4,CH,637,0.5494505494505495,0.45054945054945056,82858,11007329.087178811,274416799.17717147,22349.0,46.818.188,8.227.512,Switzerland
5,DE,3221,0.5361688916485563,0.46383110835144364,523128,50589045.59570806,272827919.5257566,109817.0,51.165.691,10.451.526,Germany
6,DK,805,0.42732919254658386,0.5726708074534161,97637,7690409.609129755,15859380.734255271,26051.0,5.626.392,9.501.785,Denmark
7,ES,1997,0.5438157235853781,0.45618427641462195,266289,22681380.80746518,88892485.45812145,68797.0,40.463.667,-374.922,Spain
8,FR,2610,0.439463601532567,0.560536398467433,464065,42708293.55369599,101252026.53871666,91219.0,46.227.638,2.213.749,France
9,GB,20253,0.37475929491927124,0.6252407050807288,2567291,192584446.00487888,521082409.48857874,643657.0,55.378.051,-3.435.973,United Kingdom
10,GR,10,0.0,1.0,14641,1946998.6472100683,236388.61241,297.0,39.074.208,21.824.312,Greece
11,HK,1143,0.2440944881889764,0.7559055118110236,399831,45096267.71439455,22610585.83630257,38455.0,22.396.428,114.109.497,Hong Kong
12,IE,556,0.5323741007194245,0.4676258992805755,46920,4374524.1079343315,12514443.63192724,18846.0,5.341.291,-824.389,Ireland
13,IT,2263,0.6672558550596553,0.33274414494034465,227846,19941921.82181327,267343060.17140242,83969.0,4.187.194,1.256.738,Italy
14,JP,482,0.3796680497925311,0.6203319502074689,186322,17289790.17309487,10691769.97737978,16265.0,36.204.824,138.252.924,Japan
15,LU,56,0.42857142857142855,0.5714285714285714,4477,720213.2983679987,1356155.88675046,1925.0,49.815.273,6.129.583,Luxembourg
16,MX,2579,0.5866614967041489,0.4133385032958511,90606,5921030.492454535,35053632.397057466,97283.0,23.634.501,-102.552.784,Mexico
17,NL,1569,0.5519439133205863,0.44805608667941366,225382,21392716.149219755,45261223.87195783,51723.0,52.132.633,5.291.266,Netherlands
18,NO,433,0.5219399538106235,0.4780600461893764,30459,3234627.9682437833,7182352.86024208,14961.0,60.472.024,8.468.946,Norway
19,NZ,796,0.4635678391959799,0.5364321608040201,75958,5104626.943316968,11579767.74413605,25226.0,-40.900.557,174.885.971,New Zealand
20,PL,16,0.1875,0.8125,27371,3384122.422961314,467690.6379525,474.0,51.919.438,19.145.136,Poland
21,SE,1304,0.4677914110429448,0.5322085889570553,231002,16961158.950954314,42900222.391903505,43725.0,60.128.161,18.643.501,Sweden
22,SG,688,0.3706395348837209,0.6293604651162791,95484,7978209.247644404,10154575.43923654,22595.0,1.352.083,103.819.836,Singapore
23,SI,2,0.0,1.0,577,25773.760092890003,10954.35263,60.0,46.151.241,14.995.463,Slovenia
24,US,125736,0.405070942291786,0.594929057708214,19916151,1871561093.21,4852691456.36,4127377.0,3.709.024,-95.712.891,United States
